Название вакансии,URL,Название компании,Описание
Junior/Middle PHP developer,https://perm.hh.ru/vacancy/34383308?query=php, Минералмаркет,"Поддержка сайтов двух интернет магазинов. Внесение доработок и изменений в клиентскую часть сайтов (верстка в том числе). Разработка новых модулей... Вы знаете PHP и MySQL, JavaScript и jQuery. У вас есть опыт работы с Yii. Вы понимаете ООП и MVC. "
PHP Developer (Symfony),https://perm.hh.ru/vacancy/34377507?query=php, Andersen,"...и прочая информация). Также там будут функции поиска, сортировки и создания отчётности. По команде: 3 PHP разработчика и 2 JS. Фронтенд: JS, TypeScript, ReactJS, Redux, HTML5, CSS3. Опыт разработки на PHP от 2-х лет. Хорошее знание Symfony..."
Backend PHP Разработчик,https://perm.hh.ru/vacancy/33931639?query=php,ООО FURNIPRICE,"Мебельный агрегатор. Платформа для поиска и заказа мебели от производителей и продавцов со всего света с доставкой в любую точку... Требования и профессиональные навыки: Знание шаблонов проектирования и лучших практик программирования. Понимание принципов SOLID, DRY, KISS. Строгое соблюдение PSR стандартов. "
PHP-разработчик,https://perm.hh.ru/vacancy/34375817?query=php,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),"Думать и проектировать. Писать тесты для своего кода. Профессиональный рост: HR-департамент разрабатывает и проводит обучающие программы для сотрудников.  Знаком с технологиями Frontend (html, css, JS, JQuery, ajax). Писать код. Удалять код."
PHP-программист (Junior),https://perm.hh.ru/vacancy/34306915?query=php,АО ИОМ Анкетолог," Необходимые навыки и знания: Хорошие знания PHP 5+. Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.). "
"Бэкенд-разработчик (PHP, MongoDB)",https://perm.hh.ru/vacancy/34128577?query=php,ИП Виноградов Виталий Владимирович,"Раз-два в неделю митинг для корректировки направления и ретроспективы выполненного. Документация - в Google Docs, код в - Bitbucket.  Хорошее знание PHP. Опыт работы с mongoDB (или желание его получить) и понимание noSQL. Базовое знание SQL. Опыт работы с..."
PHP-разработчик,https://perm.hh.ru/vacancy/34379625?query=php, Aizel.ru,"Разрабатывать действительно большие и интересные интернет-проекты компании. Решать задачи самого разного плата: начиная от исправления небольшого бага до разработки... Опыт web-разработки от 3 лет. Отличное знание PHP, SQL. Большим плюсом будет опыт работы с PHP-фреймворками Yii или..."
PHP-разработчик,https://perm.hh.ru/vacancy/34360868?query=php,ПАО МТС Банк,"Разработка и поддержка программных продуктов на PHP. Администрирование прикладного ПО. ...из инструментов CI/CD (Jenkins, TeamCity, GitLab). Опыт работы в написание на различных языках программирования. Работы с PHP. Высшее образование."
PHP-разработчик middle,https://perm.hh.ru/vacancy/33457176?query=php, World Fashion Channel,"Техническое сопровождение и доработка действующих проектов. Разработка новых е-комерс проектов. Исправление ошибок, тестирование и оптимизация кода. Интеграция со сторонними... Уверенное знание PHP5-7, MySQL, JS, AJAX. Опыт работы с SQL, умение оптимизировать запросы. Умение разобраться в чужом коде. "
PHP-разработчик,https://perm.hh.ru/vacancy/34214954?query=php, SkyNet,"Верстать элементы и страницы внутренней системы управления по данным полученным из REST API. Верстать элементы и страницы абонентского интерфейса по... Хорошее знание PHP, JavaScript и JS библиотек (jQuery, Vue, и др.). Умение верстать на HTML и CSS. Понимание как работает..."
Backend Developer (Symfony 4),https://perm.hh.ru/vacancy/33970529?query=php, СуперЦРМ," Желателен опыт создания CRM. Экспертный уровень PHP 7. Знание и опыт Symfony 4; Прочтение grasp. БД: postgresql, elasticsearch, понимание теории..."
PHP developer,https://perm.hh.ru/vacancy/27430838?query=php,ООО АйТи Мегастар,Разработка backend части приложений с нуля и доработка существующих. Архетиктура баз данных. Деплой приложений на тестовый и боевой сервер.  Опыт разработки backend от 3 лет. Уверенное знание PHP. Опыт использования REST API. Опыт работы с любой из реляционных баз...
Программист PHP,https://perm.hh.ru/vacancy/33949159?query=php,ИП Королев Максим Геннадьевич ,"Разработка сайтов. Поддержка сайтов и оптимизация их работы (повышение производительности, безопасности и т. п.). Интеграция сайтов с внешними и внутренними... ...PHP, MySQL, HTML, CSS, JavaScript (Ajax, jQuery). Навыки работы в Linux. Умение настраивать nginx, apache. Знание ООП, MVC. Знание php..."
PHP-программист (reports),https://perm.hh.ru/vacancy/34221085?query=php,"ООО Egamings, филиал г. Псков","Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест вопросы (php, sql -основные html, css, js - дополнительные).  Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, ООП. Хорошее знание SQL-подобных СУБД (желательно MySQL, но подойдёт..."
"Team Lead (PHP, JS)",https://perm.hh.ru/vacancy/31646873?query=php, BeeJee," Экспертный уровень PHP-разработки (Yii, CI, Kohana, Laravel, Zend), готовность подтвердить его примерами работ. Опыт написания REST API. "
"Team Lead (PHP, JS)",https://perm.hh.ru/vacancy/32455668?query=php, BeeJee," Экспертный уровень PHP-разработки (Yii, CI, Kohana, Laravel, Zend), готовность подтвердить его примерами работ. Опыт написания REST API. "
Программист PHP,https://perm.hh.ru/vacancy/34049251?query=php,АО Северен Телеком,"Разработка новых и поддержка существующих web-проектов Компании. Интеграция информационных систем с внешними сервисами и службами. Опыт разработки веб-приложений на PHP (fullstack) от 2 лет. Уверенное знание Yii 2 (В предпочтении) или laravel, знание и..."
Младший PHP-разработчик/ Junior PHP Developer,https://perm.hh.ru/vacancy/34310717?query=php, B2B-Center," Базовые знания MySQL, HTML/CSS, JavaScript. Знание и понимание ООП. Понимание принципов работы HTTP. Желание активно получать новые знания и..."
PHP developer,https://perm.hh.ru/vacancy/33963744?query=php,ООО ТаргСофт,Работу в IT-компании (резидент ПВТ). Знает Laravel. Знаком с Vue JS. Английский Intermediate и выше. MySQL/Postgresql. Желателен опыт работы с Docker/AWS/Jenkins.
Senior PHP Developer,https://perm.hh.ru/vacancy/33559683?query=php,АО ЭЛТ-ПОИСК,"Разработкой интеграционных сервисов между существующей платформой и клиентскими приложениями. Разработкой серверной части веб-решений. Развитием существующих модулей, разработкой новых. Разработка коммерческих веб-приложений от 5 лет. Отличные знания PHP. Знания отличий версий PHP. Практический опыт применения одного из фреймворков..."
