Название вакансии,URL,Название компании,Описание 
PHP-разработчик (Symfony),https://perm.hh.ru/vacancy/33813836?query=php, BR Lab,"участие в командной разработке высоконагруженных проектов в сфере спорта. - интеграция спортивных данных по новым видам спорта. - анализ и манипуляции со... знание и опыт работы Symfony 3 / 4. - PHP, SQL. - здоровое чувство юмора приветствуем =)."
PHP-разработчик (Symfony),https://perm.hh.ru/vacancy/33813837?query=php, BR Lab,"участие в командной разработке высоконагруженных проектов в сфере спорта. - интеграция спортивных данных по новым видам спорта. - анализ и манипуляции со... знание и опыт работы Symfony 3 / 4. - PHP, SQL. - здоровое чувство юмора приветствуем =)."
PHP-разработчик (Symfony),https://perm.hh.ru/vacancy/33813838?query=php, BR Lab,"участие в командной разработке высоконагруженных проектов в сфере спорта. - интеграция спортивных данных по новым видам спорта. - анализ и манипуляции со... знание и опыт работы Symfony 3 / 4. - PHP, SQL. - здоровое чувство юмора приветствуем =)."
PHP-программист,https://perm.hh.ru/vacancy/33849484?query=php,ТОО ARTDOCK,"Разработка и поддержка приложений компании. Проектировка систем анализа и мониторинга. Чистый и оптимизированный код - MUST HAVE! Ответственность, пунктуальность, целеустремленность. Linux. PHP7, Yii2. Реляционные базы данных (MySQL и др.). "
Программист PHP,https://perm.hh.ru/vacancy/34071527?query=php,ООО Директ,"Доработка существующего функционала под требования заказчика с использованием API. Настройка бизнес-инструментов Битрикс24 под требования заказчика. Создание и доработка... Уверенное владение следующим инструментарием backend-разработки: PHP, MySQL, а также HTML. Опыт создания интернет-проектов: сайтов, приложений, сервисов. ("
"Веб-разработчик (backend php, middle)",https://perm.hh.ru/vacancy/34144472?query=php,ООО АВАНГАРД,Участие в разработке новых и поддержке внутренних проектов включая работу с фронтом (только базовый каркас). Поддержка и постепенная замена легаси... Опыт коммерческой разработки на PHP от 3-х лет и уровень опыта не ниже middle. Уверенный опыт работы с PHP...
Web-программист (Bitrix),https://perm.hh.ru/vacancy/34095827?query=php, Первый Бит,Разработка и поддержка веб-сайтов. Программирование и верстка проектов компании согласно ТЗ. Участие в разработке новых проектов. Знание языка PHP‚ JS‚ HTML и CSS верстки. Опыт работы с популярными CMS-системами (опыт с 1с-битрикс будет...
Программист JS PHP,https://perm.hh.ru/vacancy/34230992?query=php,ООО Автоматизация Персональных Систем,"Доработка и дальнейшее сопровождение сайта компании. Документирование существующих наработок , и будущих. Отличное знание JS PHP NODEJS. Ответственный."
Программист PHP и JavaScript,https://perm.hh.ru/vacancy/34068038?query=php, Матрикс," Необходимо демонстрировать владение базовыми приемами и технологиями PHP, JS, а также SQL, AJAX, CSS, HTML5. Умение работать с jQuery..."
Web-разработчик / Программист PHP JS Yii2,https://perm.hh.ru/vacancy/34149944?query=php,ООО КРИСТАЛ ЛАБ КОСМЕТИК,"Разработка и поддержка CRM-системы в области affiliate marketing. Опыт WEB-разработки не менее 3-х лет. Отличное знание PHP, jQuery, MySQL. Понимание принципов MVC. Опыт работы с Yii..."
Web-разработчик (Bitrix),https://perm.hh.ru/vacancy/34253908?query=php,ООО КОНТАКТОН,"Прием заявок, поступающих со всех каналов связи (сайт, телефонные звонки, электронная почта, веб-чат). Консультации клиентов. Проектировка задач, процессов архитектуры.  Опыт работы от 2-х лет на аналогичной должности. Знание PHP, JS, MySQL. Знание Bitrix API на высоком уровне. "
Web-программист,https://perm.hh.ru/vacancy/33794938?query=php,АО Научно-исследовательский институт информационных технологий,Разработка программного обеспечения. Уверенные знания PHP 5.5+. Владение Javascript. Знание framework Yii2 приветствуется. Умение строить сложные SQL запросы. 
PHP developer,https://perm.hh.ru/vacancy/33076527?query=php, Cognitive Technologies,"Cognitive Technologies (Когнитивные технологии) является ведущим проектным интегратором, разработчиком и поставщиком прикладных решений в областях Корпоративных Информационных Систем, реестров и... Умение проводить ревью кода и аргументировать свои решения. Умение грамотно применять PHP - как в аспекте ООП, так и функционально. "
PHP-разработчик,https://perm.hh.ru/vacancy/34067251?query=php,ООО Мир Торговли,"Проектировать и разрабатывать REST протокола приема и передачи данных для front-end части или мобильных приложений. Создавать новой backend платформы... Опыт разработки от 3х лет. Стек: RabbitMQ, PHP 7.* (Yii2), PostgreSQL, Redis, Elasticsearch. Опыт работы с Git (сами..."
Senior PHP-разработчик,https://perm.hh.ru/vacancy/34117755?query=php," ОТП Банк, АО (OTP bank)",Участие в проектах разработки цифрового банкинга. Разработка серверной части высоко нагруженных систем и микро-сервисов. Интеграция со сторонними сервисами банка.  Опыт работы на PHP от двух лет с отличным знанием PHP 7.3. Знание фреймворка Lumen. Знание и понимание основных...
Веб-разработчик (Junior),https://perm.hh.ru/vacancy/34068655?query=php, Aurigma," Хорошее знание HTML5 и CSS3 (вёрстка кроссбраузерная и кроссплатформенная). Желателен опыт работы с любой серверной платформой (PHP, Python..."
Senior PHP Developer,https://perm.hh.ru/vacancy/32824430?query=php,ООО Вебинар Технологии,"Разрабатывать новые фичи, править старые баги, рефакторить. Покрывать код тестами. Находиться в тренде новых технологий. Обладаешь опытом веб-разработки более трех лет. Отлично знаешь PHP и MySQL."
Middle/senior backend developer (PHP),https://perm.hh.ru/vacancy/32891857?query=php, Relax.by,"Проектирование архитектуры. Создание микросервисов. Работа с БД. Построение кеша и API. Поддержка существующего кода. Владеет шаблонами проектирования и следует SOLID-принципам. Уверенно знает Php 7.х. Имеет опыт использования популярных фреймворков: Yii, Laravel или..."
Junior PHP Developer (backend) / Младший PHP разработчик,https://perm.hh.ru/vacancy/34100987?query=php, WakeApp,"Проектирование, разработка и поддержка серверных приложений. Активное участие в развитии нашего высоконагруженного проекта (500+ rps). Платформа является собственной разработкой... Опыт работы с nginx, php-fpm, redis, tarantool, memcache, sphinx, composer и т.д. Опыт работы с Vagrant, Docker. "
Web-Developer/ Front-end разработчик,https://perm.hh.ru/vacancy/33932077?query=php, Галакси, Знание ES6. Знания php на базовом уровне. Понимание работы протокола http. Понимания принципов работы CMS Wordpress. Умение развернуть локальный...
Web-программист,https://perm.hh.ru/vacancy/33957636?query=php, Vip Персон,"Поддержка и модернизация существующих корпоративных сайтов. Администрирование Bitrix. Администрирование web-серверов. Опыт вёрстки сайтов по макету дизайнера. Опыт работы с Bitrix. Владение PHP, MySQL, HTML5/CSS3. Опыт администрирования *nix..."
PHP-разработчик,https://perm.hh.ru/vacancy/33075265?query=php,ООО ОТР,"Довелось создавать множество различной бизнес-логики, проектировать архитектуру ПО и организовывать работу команды разработчиков. 一 JIRA, Confluence, GitLab (в том... 一 PHP, HTML, JavaScript, CSS. 一 Yii. 一 SQL, PL/SQL, PostgreSQL, Oracle. 一 Composer, PHPUnit. 一 CI/CD. "
Junior PHP developer,https://perm.hh.ru/vacancy/30630464?query=php,ООО МедиаСофт,"Писать чистый, поддерживаемый и расширяемый код. "
Backend-разработчик PHP (приложение Матч! Клуб),https://perm.hh.ru/vacancy/32091393?query=php,ООО Газпром-медиа Развлекательное телевидение (ГПМ РТВ),"Развитие и модернизация архитектуры серверной части проекта. Оптимизация кода под постоянно большие и пиковые нагрузки (в пиках до 5k... PHP 7.0 и выше. Знание и опыт использования Symfony3,4, Doctrine. Опыт работы с MongoDB, MySQL. "
"Senior Yii/Yii2 developer/Разработчик PHP Yii (г. Санкт-Петербург, г. Севастополь)",https://perm.hh.ru/vacancy/30658205?query=php,ООО ITGLOBAL.COM,Программирование проекта. Участие в обсуждениях по проектированию кода. Опыт коммерческого программирования от 4 лет. Опыт PHP/PHP7 от 3 лет. Опыт Yii2 от 2 лет. 
Junior PHP разработчик,https://perm.hh.ru/vacancy/34129949?query=php, Метеор,"Выполнение тестовых проектов для тренировки навыка программирования. Работа над реальными задачами в рамках действующих проектов. Сопровождение и доработка. Знание основ HTML, PHP+MySQL, ООП. Осознанное желание развиваться в сфере web-разработки. Способность и желание разбираться со сложными задачами, находить..."
Web-программист,https://perm.hh.ru/vacancy/34205350?query=php, ТД Омскопторг,"Выполнять доработки, вносить изменения и решать другие технические задачи на сайтах Компании на основании ТЗ. -Выполнять интеграцию с 1С... CSS+HTML - опыт адаптивной верстки: PHP + MYSQL - умение разобраться в чужом коде, исправить, написать свой. Уметь делать запросы к базе..."
Программист PHP,https://perm.hh.ru/vacancy/33003034?query=php,ООО Тагес Джамп," Знание PHP, Golang, JS, CSS, HTML, MySQL, JSON, GIT, SSH, REST API, ООП. Желательно: Опыт разработки API."
PHP-разработчик,https://perm.hh.ru/vacancy/34027141?query=php,ООО Меркурий,Разработка новых и развитие существующих веб интерфейсов компании. Уверенное знание php. ● Опыт работы с yii2. ● Уверенное знание SQL. ● Умение работать с git. ● Умение работать с docker. ● 
PHP-разработчик (back end),https://perm.hh.ru/vacancy/33565993?query=php, Money4leads,"Проектирование и разработка новых сервисов Компании (CRM, биллинг, личный кабинет). Оптимизация существующего проекта (оптимизация запросов, архитектурные решения). Проектирование и разработка... Знание PHP (у нас PHP 7.1) + желательно знание PosgreSQL (не обязательно). GIT на уровне использования через консоль и..."
Full Stack PHP Developer,https://perm.hh.ru/vacancy/34168641?query=php, Mentalstack," Опыт разработки клиент-серверных решений на PHP, Laravel / Symfony. Навыки профилирования, отладки и оптимизации Back-End'а и Front-End..."
Программист PHP (middle),https://perm.hh.ru/vacancy/32380892?query=php, Федеральная сеть книжных магазинов «Читай-город»,Разработка совместно с командой программистов нового высоконагруженного интернет-магазина. Разработка и модификация программных модулей и утилит. Поддержка и контроль работоспособности... Уверенное знание нативного PHP 7.2; PSR 2. Понимание ООП и умение его применять. Приветствуется знание фреймворков. Опыт работы с...
Ведущий web-разработчик / PHP - developer (Symfony),https://perm.hh.ru/vacancy/33699612?query=php,ООО ВсеИнструменты.ру,"Поддерживать существующий и разрабатывать новый функционал ERP - внутренней системы компании. Решать сложные бизнес-задачи: осуществлять рефакторинг старого кода, разрабатывать архитектуру... Опыт работы на highload проекте. Реализация поиска с использованием Sphinx, ELK. Работа с Docker, Kubernetes. Знание ООП, следование принципам SOLID. "
Ведущий веб-разработчик PHP,https://perm.hh.ru/vacancy/33594312?query=php,ООО Технология Карьеры,"Активное участие в развитии продуктов. Техническая проработка задач. Проектирование архитектуры проектов. Выбор технологий и сторонних сервисов для решения поставленных задач.  3.Понимание стратегии оптимизации веб-приложений. 4.Уверенное владение PHP7. 5.Отличное знание HTML5, CSS3, JavaScript. 6.Опыт проектирования реляционных баз..."
Web-разработчик/ веб-разработчик/ веб-программист,https://perm.hh.ru/vacancy/34215772?query=php, Семицветик Петербург,"Участие в разработке корпоративных сайтов и веб-сервисов (Битрикс и др.). Доработка стандартных компонентов. Разработка собственных модулей и компонентов.  Знает 1С-Битрикс (обязательное условие!), PHP7, MySQL. Пишет аккуратный и понятный код. Открыт, коммуникабелен и готов работать в..."
PHP разработчик,https://perm.hh.ru/vacancy/34010573?query=php,ООО Премиум Бонус,"Развивать существующий функционал платформы. Разрабатывать новые и сопутствующие продукты. Участвовать в проектировании архитектуры. Расти профессионально. Способны самостоятельно принимать решения, искать нужную информацию, анализировать, и воплощать идеи в коде. Отлично владеете PHP. Умеете проектировать и использовать..."
PHP backend developer,https://perm.hh.ru/vacancy/33565994?query=php, Money4leads,"Проектирование и разработка новых сервисов Компании (CRM, биллинг, личный кабинет). Оптимизация существующего проекта (оптимизация запросов, архитектурные решения). Проектирование и разработка... Знание PHP (у нас PHP 7.1) + желательно знание PosgreSQL (не обязательно). GIT на уровне использования через консоль и..."
PHP-программист,https://perm.hh.ru/vacancy/33534723?query=php,ООО С7 Информационные технологии,"Разработка модулей внутренней информационной системы. Участие в разработке бизнес-процессов. Владение PHP. Опыт работы с SQL-БД (Oracle, PostgreSQL желательно). Желательно владение Yii, Angular, jQuery. Плюсом будет опыт интеграции с..."
Программист PHP (Symfony),https://perm.hh.ru/vacancy/33096413?query=php,ООО Солид Дев,"Наше профильное направление – проектирование IT-инфраструктуры, управление данными, аналитика, создание программных продуктов, сервисов и уникальных бизнес-приложений. Ключевой компетенцией компании... ...c PHP7.x. Понимание принципов SOLID, DRY и KISS. Знание того, что такое Zval и как устроен PHP изнутри."
Senior Web Developer / Tech Lead,https://perm.hh.ru/vacancy/34096401?query=php,ООО Перфект Системс,"Разработка ПО - web приложения в соответствии с техническим заданием. Проектирование. Написание кода. Пусконаладочные работы. Участие в командных мероприятиях по сбору... Владеть английским языком на уровне возможности прочитать и написать документацию и спецификацию. Быть знакомым со следующими вещами: php, framework, sql..."
Программист PHP,https://perm.hh.ru/vacancy/34044863?query=php, JCat.ru,"Разработка и модификация программных модулей и утилит. Поддержка и контроль работоспособности веб-ресурса. Отладка и оптимизация производительности программного обеспечения веб... Ключевые навыки - PHP, Yii2, SQL, Git, JavaScript. Будет плюсом владение Nginx, Docker, MS SQL, WSDL. Образование: не имеет значения."
PHP-разработчик (Bitrix),https://perm.hh.ru/vacancy/34130781?query=php,ООО ВИЗ," Опыт работы в bitrix управление сайтом от 1 года. 2. Знание php, html, css (БЭМ), js, jquery (ajax). 3. "
Middle PHP разработчик (онлайн видеоредактор),https://perm.hh.ru/vacancy/30698388?query=php, Movavi,"Разработка backend-части онлайн видеоредактора. Реализация сервиса с нуля и до production. Оптимизация сервиса под большое количество запросов.  Опыт работы на подобной позиции от 1 года. Уверенные знания PHP. Знания любого современного PHP-фреймворка (Symfony, Laravel, Zend). "
PHP-программист,https://perm.hh.ru/vacancy/34035471?query=php,ООО Максимал,"Работали с фреймворком Phalcon. Понимаете, что такое ООП, и умеете применять на практике основные паттерны. Уверенно пишете SQL и умеете оптимизировать запросы. "
Web-разработчик / PHP-программист,https://perm.hh.ru/vacancy/34138942?query=php,ИП impulse,"Разработка сайтов, порталов, интернет-магазинов, инд. веб-проектов на популярных CMS (Wordpress, Opencart, 1С-Битрикс, Prestashop и др.).  Знание PHP + MySQL. Уметь разбираться в чужом коде. HTML + CSS. Опыт работы с CMS. Javascript. Понимание PhotoShop для..."
Web-программист,https://perm.hh.ru/vacancy/33924386?query=php,ООО СГМК-Трейд,"Администрирование корпоративного портала Битрикс 24. Доработка и разработка дополнительного функционала корпоративного портала. Участие в разработке существующих проектов компании.  Знание PHP, MySQL, JQuery, CSS, HTML. Понимание ООП. Опыт работы с чужим кодом. Адаптивная кроссбраузерная верстка. Знание Java Script (ES..."
Junior PHP-разработчик,https://perm.hh.ru/vacancy/34074227?query=php, Braind,"Учавствовать в разработке интернет-магазинов. PHP (ООП, MVC), MySQL."
"Web-разработчик (PHP, JavaScript, HTML, CSS)",https://perm.hh.ru/vacancy/34082596?query=php,ООО Мидион,"Создание новых и доработка существующих сайтов и web-проектов. Уверенное знание: PHP (ООП, MVC). JavaScript (jQuery). HTML/CSS/SASS. MySQL/MariaDB (MyISAM/InnoDB). Git. Желательно знание: API 1С..."
Middle+ Full Stack Developer (PHP) / Web developer,https://perm.hh.ru/vacancy/34259915?query=php," СпурАйТи, ЧУП","Разработка новых и поддержка существующих приложений для Shopify. Разработка и кастомизация тем для Shopify. Уверенное знание Php 7.х и mySQL. Опыт использования популярных фреймворков: Yii, Laravel или Symfony. Опыт работы с REST API. "
Web-программист,https://perm.hh.ru/vacancy/34224603?query=php,ООО WESMA,"Вести разработку на нескольких крупных проектах. Вносить правки на сайты. Обновлять и дорабатывать функционал сайтов. Верстка (в основном правки, для... Php (выше среднего). Знание MySQL. HTML (4,5). CSS (2,3). JavaScript(jQuery). Опыт работы с CMS. Понимание работы веб..."
Backend-разработчик (PHP),https://perm.hh.ru/vacancy/33673155?query=php, Первая народная школа,"Разработка серверной части проекта и сопутствующих сервисов, улучшение и рефакторинг отдельных модулей, вплоть до написания с нуля. Опыт работы в backend от 2-ух лет. Уверенные знания в PHP (Laravel). Уверенные знания SQL и реляционных БД (MySQL). "
Laravel - программист,https://perm.hh.ru/vacancy/34247782?query=php, Bauart Web Solutions,"разработка, доработка и сопровождение SaaS сервисов, CRM, порталов. Обязательно - знание Laravel, PHP. - Знание JS, CSS. - Английский язык на уровне чтения документации (минимально) - разговорный на уровне общения и переписки..."
PHP-разработчик,https://perm.hh.ru/vacancy/34026462?query=php, Неофлекс,"Проектирование, развитие, поддержка и создание –сервисов, сайтов и баз данных (Разработка на языке программирования PHP). Опыт разработки на PHP от двух лет. Понимание принципов OПП PHP5/PHP7, паттерны проектирования. Уверенные знания SQL, опыт..."
Senior PHP Разработчик,https://perm.hh.ru/vacancy/34012336?query=php,ООО Скайтек,"Поддержка и доработка мультиплеерных HTML5 игр (Online RPG). Поддержка и доработка серверной части игр Android/iOS игр (в жанрах... Умение быстро учиться и осваивать новое. Проекты написаны с использованием связки PHP + Java, поэтому в рамках работы необходимо будет..."
Regular / Senior Full-Stack Developer,https://perm.hh.ru/vacancy/34256837?query=php, Luxoft,"Описание проекта: Автоматизация процессов кредитования малого и среднего бизнеса через удаленные каналы. Разработка приложений. Оптимизация кода. Ревью кода.  Хорошее понимание шаблона MVC. Опыт бэк-энд разработки (Spring MVC, PHP, Node.js, etc.). Желательно: Vue.JS, React. Spring MVC. Java Core."
Программист Битрикс,https://perm.hh.ru/vacancy/34093461?query=php, ФГУП СТАНДАРТИНФОРМ,"Разработка типовых и не типовых бизнес-процессов на базе 1 С-Битрикс. Решение оперативных задач по БУС и Б24... Знание и опыт работы с БД, SQL, mySQL, PostgreSQL, JavaScript, jQuery, PHP от 2-х лет. Понимание технологий интеграции между..."
Веб-программист,https://perm.hh.ru/vacancy/31901661?query=php,ООО «ТРЕЙДКОН»,"Поддержка и развитие имеющихся активных сайтов (10 шт.), работающих на основе 1С-Битрикс. Работа с системой контроля версий Git. Знание API 1С-Битрикс. Уверенное знание HTML, CSS, JS, PHP, MySQL, адаптивной вёрстки. Высшее образование. Умение разбираться в чужом..."
Программист PHP,https://perm.hh.ru/vacancy/34043625?query=php,ООО ФК ПУЛЬС," Опыт разработки с использованием PHP 7+. Опыт разработки с использованием MySQL. Опыт работы с HTML, jQuery. Понимание принципов ООП. "
Программист PHP,https://perm.hh.ru/vacancy/34043626?query=php,ООО ФК ПУЛЬС," Опыт разработки с использованием PHP 7+. Опыт разработки с использованием MySQL. Опыт работы с HTML, jQuery. Понимание принципов ООП. "
Программист PHP,https://perm.hh.ru/vacancy/34043627?query=php,ООО ФК ПУЛЬС," Опыт разработки с использованием PHP 7+. Опыт разработки с использованием MySQL. Опыт работы с HTML, jQuery. Понимание принципов ООП. "
PHP Developer (Middle),https://perm.hh.ru/vacancy/33491217?query=php, AD.RU,"Работа над новыми проектами компании. Работа над существующими проектами компании. Работа в команде. В основном работа с бекэндом. Уверенное знание PHP. Знание одного или нескольких фреймворков: Phalcon PHP, Symfony, Laravel, CakePHP, CodeIgniter, Yii, Zend, Lumen. Навыки работы с..."
PHP-разработчик (Symfony),https://perm.hh.ru/vacancy/33466222?query=php, AGIMA,Мы в поиске Symfony разработчиков уровнем не ниже middle на один из проектов в направлении телемедицины для животных.  Выполнять однотипные задачи.
Стажёр веб-разработчик,https://perm.hh.ru/vacancy/34108831?query=php,ООО ИНТЭК,"Развитие своих профессиональных навыков. Поддержка и развитие сайтов компании. Обработка обращений сотрудников отделов. Участие в доработке внутренних систем. Базовые знания PHP, JS, MySQL, HTML, CSS. Внимательность, системный подход. Желание развиваться и изучать новые технологии. Умение разбираться в чужом..."
Администратор сайта. Web-мастер. Web-разработчик.,https://perm.hh.ru/vacancy/33880386?query=php,ООО Электромир,"Разработка, доработка сайтов и посадочных страниц (дизайн, верстка, разработка html-страниц и пр. работы). Наполнение сайтов материалами; создание и обработка... Знание JavaScript, CSS, XML, YML (будет преимуществом). Навыки работы с PHP, в том числе позволяющие сделать форму обратной связи и..."
PHP-программист,https://perm.hh.ru/vacancy/33519155?query=php, Майер,"Коммуникационное агентство. Рекламное производство. Интернет-студия. Типография. Отличное знание одного из популярных PHP CMF: Yii, Symfony, Laravel, CakePHP и т.п.. Уверенное знание PHP начиная с версии..."
Fullstack-разработчик (Node.js),https://perm.hh.ru/vacancy/34074634?query=php,ООО ЦЦЭТ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... Опыт разработки на Node.js (опыт разработки на Python или PHP будет большим плюсом). Большим плюсом будет опыт использования hapi.js. 
Trainee PHP developer (PHP разработчик-стажер),https://perm.hh.ru/vacancy/34043498?query=php, Openprovider,"Автоматизировать процессы переноса путем написания скриптов на PHP. Взаимодействовать с API Openprovider и других доменных регистраторов. Взаимодействовать с клиентами Openprovider.  Минимальное знакомство со средой Linux. Минимальный опыт программирования. Английский, достаточный для переписки с англоговорящими коллегами. Базовые знания SQL. "
Программист PHP (Middle),https://perm.hh.ru/vacancy/32918628?query=php, Ньюконтакт,"Участвовать в разработке web-приложений в качестве frontend и backend программиста, с использованием PHP, JavaScript, jQuery, SQL. Сопровождать и дорабатывать... Знакомство с современным фреймворком PHP (например, Yii2, Laravel, Symfony...). Опыт работы web-программистом. Знание PHP 7. Опыт работы с..."
PHP developer,https://perm.hh.ru/vacancy/33965025?query=php, StudyWorld," Умение качественно и эффективно программировать, используя существующие наработки и с прицелом на результат. Опыт практического применения ООП, понимание основных паттернов..."
Программист PHP/Bitrix,https://perm.hh.ru/vacancy/34055538?query=php, Zenga,"Разработка сайтов 1С –Битрикс Управление сайтом. Кроссбраузерная адаптивная верстка. Поддержка сайтов и оптимизация их работы (повышение производительности, безопасности и... Опыт работы с системой контроля версий git. Желательна сертификация 1С –Битрикс. Знание PHP, MySQL, HTML, XML, CSS, JavaScript (Ajax..."
Junior Back-End Developer,https://perm.hh.ru/vacancy/34230832?query=php,ООО БАНКОРП,"Европейская компания в поиске Junior Back-End специалиста, заинтересованного в долгосрочном сотрудничестве.Наши проекты - интернет-порталы, форумы, интернет-магазины(Европа) - поддержка... знание современного PHP 7+ (умение писать код нативно). - понимание ООП, шаблонов проектирования, структур данных и алгоритмов. - HTML, CSS, JS..."
Ведущий PHP-разработчик,https://perm.hh.ru/vacancy/34064609?query=php, ImageSpark,"Разработка и развитие существующих проектов. Проведение code review. Формирование/верификация и защита оценок трудозатрат. Храним данные в MongoDB, ClickHouse и... Умение мотивировать и вести команду. Технологии:"
Middle PHP-developer,https://perm.hh.ru/vacancy/34156669?query=php, KAD::Systems,"Оптимизация и доработка существующих web - приложений. Разработка новых web - приложений. Проработка ТЗ из пользовательских историй. Назначение и контроль ответственных за... Уверенное знание PHP. Опыт работы с Laravel. Хорошее знание и опыт работы: HTML5, CSS3, JavaScript. Знание и опыт..."
Junior Web Developer,https://perm.hh.ru/vacancy/34024324?query=php, DC Daily,"ПО для печати кодов для функционирования киоска. ПО под взаимодействие с устройствами на PHP (камеры, считыватели карт, кассовое оборудование, принтеры... Навыки работы с PHP, MySQL, JS. Опыт работы в аналогичной должности от 1 года. Желание развиваться, а также предлагать решения..."
Middle PHP Разработчик,https://perm.hh.ru/vacancy/34012335?query=php,ООО Скайтек,"Поддержка и доработка мультиплеерных HTML5 игр (Online RPG). Поддержка и доработка серверной части игр Android/iOS игр (в жанрах... Умение быстро учиться и осваивать новое. Проекты написаны с использованием связки PHP + Java, поэтому в рамках работы необходимо будет..."
PHP-разработчик,https://perm.hh.ru/vacancy/32438034?query=php, Группа компаний ПИК,"Разработка, оптимизация и поддержка существующих и новых бизнес критичных систем компании. Участие в проектирование архитектуры системы. Интеграция проектов со сторонними... Опыт разработки на PHP от 3-х лет. Опыт работы с PHP 7.0 и выше, MySQL 5.7, PostgreSQL..."
"PHP разработчик (junior, middle)",https://perm.hh.ru/vacancy/34057892?query=php,ООО Умный Мир,"Разработку и поддержку серверной части веб-приложений на PHP. Проектирование архитектуры веб-приложений. Разработка API для интеграции веб-сервиса с... Знание PHP. Понимание ООП, принципов построения приложений. Опыт работы с реляционными базами данных. Работа *nix на уровне пользователя. "
Программист PHP,https://perm.hh.ru/vacancy/34050348?query=php,ООО Айти грэйд,"Компания «Айти грэйд» предоставляет широкий спектр услуг по разработке и сопровождению сайтов и инфраструктуры. В нашем “портфеле” много сложных и... Знание PHP, MySQL. Понимание принципов ООП и основных паттернов проектирования. Опыт работы интеграции со сторонними сервисами, REST API. "
Backend-разработчик (PHP),https://perm.hh.ru/vacancy/33602107?query=php,ООО Оранжсофт Девелопмент, Если имеете опыт работы c PHP5.6-7.* от 2 лет. Если имеете опыт работы с современными PHP-фреймворками...
PHP-программист,https://perm.hh.ru/vacancy/34081131?query=php,ООО Матрица,"Поддержка и разработка новых функций для внутренних баз компании. Разработка новых функций для сайта ""matrix12.ru"". Отличное знание PHP 5. Обязательное знание SQL. Умение работать с базами данных. Знание AJAX, Jq. Умение разбираться в чужом коде."
Senior PHP Developer (Searchanise),https://perm.hh.ru/vacancy/34041211?query=php, Группа компаний Simtech,"Писать чистый, качественный и быстрый код на стеке PHP/JavaScript/HTML. Анализировать текущие и предлагать новые решения. Излагать свои мысли... Опыт работы с распределенными и нагруженными системами. Опыт работы со Sphinx. Навыки программирования на Erlang, C++, Go. Навыки современной frontend..."
Fullstack-разработчик (PHP / Node.js / Python),https://perm.hh.ru/vacancy/34266667?query=php,ООО ЦЦЭТ,"Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... Опыт разработки на Node.js, Python или PHP (как минимум, одна платформа, желательно – не менее двух). Опыт работы с PostgreSQL, умение..."
Node JS разработчик,https://perm.hh.ru/vacancy/34264154?query=php, Синезис,"Необходимо поддерживать/переписывать большое количество веб-проектов, написанных на NodeJS, а также создание новых. Быть ответственным. Будет плюсом: Практический опыт работы с PHP. Дополнительные инструкции: Жду от вас краткой истории о себе и своих..."
PHP разработчик,https://perm.hh.ru/vacancy/33308617?query=php, Star-staff,"Основные обязанности: Full stack разработка продукта (~ 85% back-end, 15% front-end). Поддержка и разработка новых модулей системы управления контентом.  Основные требования: PHP 5.4 и выше. Знание различных фреймворков: Laravel, Symfony, Zend, Yii и/или другие. MySQL, отличное знание..."
Младший программист PHP (Junior),https://perm.hh.ru/vacancy/30787288?query=php, Ньюконтакт,"Участвовать в разработке web-приложений в качестве frontend и backend программиста, с использованием PHP, JavaScript, jQuery, SQL. Сопровождать и дорабатывать... Высшее техническое или математическое образование. Опыт работы web-программистом. Базовые знания PHP. Базовое знание SQL. Базовые знания HTML, CSS, Bootstrap..."
